title,company,post_date,date_found,url,platform
Chief Revenue Officer,Lumata Health,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/chief-revenue-officer-at-lumata-health-4121209704?position=58&pageNum=0&refId=dsuavZ3Um4sJ7iYPS4fI5Q%3D%3D&trackingId=RPY4D%2Fy20PjZ%2FKnPTLHyTA%3D%3D,LinkedIn
Verification Specialist: Internationally-Based Remote: (1099 Independent Contractor),KENTECH,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/verification-specialist-internationally-based-remote-1099-independent-contractor-at-kentech-4121224921?position=59&pageNum=0&refId=dsuavZ3Um4sJ7iYPS4fI5Q%3D%3D&trackingId=FEnE68vddqIcwZEYhB9DBg%3D%3D,LinkedIn
Marketing Manager,Lumata Health,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/marketing-manager-at-lumata-health-4121190999?position=60&pageNum=0&refId=dsuavZ3Um4sJ7iYPS4fI5Q%3D%3D&trackingId=gmYVfEYAEB%2BnpRo252MURA%3D%3D,LinkedIn
"Part-time sitter vacancy for two middle schoolers and a dog near Chicago, IL",Wyndy,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/part-time-sitter-vacancy-for-two-middle-schoolers-and-a-dog-near-chicago-il-at-wyndy-4121128918?position=2&pageNum=0&refId=5hwvmRV%2ByLhjGaeMcrK5mA%3D%3D&trackingId=wKKiDPR%2FHjfwiibLuqKzJg%3D%3D,LinkedIn
SMB Account Executive - Talent & Learning,LinkedIn,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/smb-account-executive-talent-learning-at-linkedin-4121271544?position=4&pageNum=0&refId=5hwvmRV%2ByLhjGaeMcrK5mA%3D%3D&trackingId=QZ0Wojv%2BlY6Fk30xPhLBYg%3D%3D,LinkedIn
SVP of Sales,"WithMe, Inc.",2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/svp-of-sales-at-withme-inc-4120602563?position=8&pageNum=0&refId=5hwvmRV%2ByLhjGaeMcrK5mA%3D%3D&trackingId=f1ibpez40JDsOsWZ9M7wEQ%3D%3D,LinkedIn
Web Designer,World Headquarters,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/web-designer-at-world-headquarters-4121508779?position=9&pageNum=0&refId=5hwvmRV%2ByLhjGaeMcrK5mA%3D%3D&trackingId=WEdkI69pOTzCIJBlJHJVJA%3D%3D,LinkedIn
Guest Experience Specialist,MUSEUM OF ICE CREAM,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/guest-experience-specialist-at-museum-of-ice-cream-4121500794?position=15&pageNum=0&refId=5hwvmRV%2ByLhjGaeMcrK5mA%3D%3D&trackingId=b4mynCpizMm%2FzmKMbhb6zA%3D%3D,LinkedIn
Online Digital Marketing Specialist,Erika4Travel,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/online-digital-marketing-specialist-at-erika4travel-4121139045?position=19&pageNum=0&refId=5hwvmRV%2ByLhjGaeMcrK5mA%3D%3D&trackingId=nrv7qetbRWdVJgs%2B%2BMImuA%3D%3D,LinkedIn
Crew - All Shifts,The Wendy's Company,2025-01-08,2025-01-10,https://www.linkedin.com/jobs/view/crew-all-shifts-at-the-wendy-s-company-4121501792?position=23&pageNum=0&refId=5hwvmRV%2ByLhjGaeMcrK5mA%3D%3D&trackingId=YA3yLS8cLGaaFWIoPUwWMg%3D%3D,LinkedIn
Verification Specialist:  Internationally-Based Remote: (1099 Independent Contractor),KENTECH,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/verification-specialist-internationally-based-remote-1099-independent-contractor-at-kentech-4120665796?position=29&pageNum=0&refId=5hwvmRV%2ByLhjGaeMcrK5mA%3D%3D&trackingId=yV%2B3XZmoHe7CYw4kP4n7DQ%3D%3D,LinkedIn
Marketing Manager,Lumata Health,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/marketing-manager-at-lumata-health-4121190999?position=33&pageNum=0&refId=5hwvmRV%2ByLhjGaeMcrK5mA%3D%3D&trackingId=fxD4zsDbxu733HQMDhTVxw%3D%3D,LinkedIn
Environmental Field Inspector,We Inspect,2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/environmental-field-inspector-at-we-inspect-4120605298?position=34&pageNum=0&refId=5hwvmRV%2ByLhjGaeMcrK5mA%3D%3D&trackingId=jns8y0yM%2Bv6F637JzFc%2FYw%3D%3D,LinkedIn
Product Marketing Manager,"WithMe, Inc.",2025-01-09,2025-01-10,https://www.linkedin.com/jobs/view/product-marketing-manager-at-withme-inc-4120298967?position=37&pageNum=0&refId=5hwvmRV%2ByLhjGaeMcrK5mA%3D%3D&trackingId=5bFg2d6NkBdwKktLuCzSTg%3D%3D,LinkedIn
